English;Latin;Français;Español;Portugues
Facet for calcaneonavicular part of bifurcate ligament;Facies art.. partis calcaneonavicularis ligamenti bifurcati;Surf. art. de la part calcanéonaviculaire du ligt. bifurqué;Cara de la parte calcaneonavicular del ligamento bifurcado;Faceta para parte calcaneonavicular do ligamento bifurcado
Anterior facet for calcaneus;Facies articularis calcanea anterior;Surface articulaire calcanéenne antérieure;Cara articular anterior para el calcáneo;Faceta anterior do calcâneo
Neck of talus;Collum ossis tali;Col du talus;Cuello del hueso talo;Colo do tálus
Middle facet for calcaneus;Facies articularis calcanea media;Surface articulaire calcanéenne moyenne;Cara articular media para el calcáneo;Faceta média para o calcâneo
Talar sulcus;Sulcus ossis tali;Sillon du talus;Surco del hueso talo;Sulco talar
Body of talus;Corpus ossis tali;Corps du talus;Cuerpo del hueso talo;Corpo do tálus
Trochlea of talus;Trochlea ossis tali;Trochlée du talus;Tróclea del hueso talo;Tróclea do tálus
Superior facet of talus;Facies superior ossis tali;Face supérieure du talus;Cara superior del talo;Faceta superior do tálus
Lateral malleolar facet;Facies malleolaris lateralis;Surface malléolaire latérale;Cara maleolar lateral;Faceta maleolar lateral
Lateral process of talus;Processus lateralis ossis tali;Processus latéral du talus;Proceso lateral del hueso talo;Processo lateral do tálus
Medial malleolar facet;Facies malleolaris medialis;Surface malléolaire médiale;Cara maleolar medial;Faceta maleolar medial
Posterior process of talus;Processus posterior ossis tali;Processus postérieur du talus;Proceso posterior del hueso talo;Processo posterior do tálus
Groove for tendon of flexor hallucis longus of talus;Sulcus tendinis flexoris longi hallucis ossis tali;Sillon du talus pour le tendon du long fléch. de l'hallux;Surco del talus por el tendón del flexor largo del hallux;Sulco do tálus para o tendão do flexor longo
Lateral tubercle;Tuberculum laterale;Tubercule latéral;Tubérculo lateral;Tubérculo lateral
Medial tubercle;Tuberculum mediale;Tubercule médial;Tubérculo medial;Tubérculo medial
Posterior calcaneal articular facet;Facies articularis calcanea posterior;Surface articulaire calcanéenne postérieure;Cara articular calcánea posterior;Faceta articular do calcâneo posterior
Calcaneus;Calcaneus;Calcaneus;Calcáneo;Calcâneo
Calcaneal tuberosity;Tuber calcanei;Tubérosité du calcaneus;Tuberosidad calcánea;Tuberosidade do calcâneo
Medial process of calcaneal tuberosity;Processus medialis tuberis calcanei;Processus médial de la tubérosité calcanéenne;Proceso medial de la tuberosidad del calcáneo;Processo medial da tuberosidade do calcâneo
Lateral process of calcaneal tuberosity;Processus lateralis tuberis calcanei;Processus latéral de la tubérosité calcanéenne;Proceso lateral de tuberosidad calcánea;Processo lateral da tuberosidade do calcâneo
Calcaneal tubercle;Tuberculum calcanei;Tubercule du calcaneus;Tubérculo calcáneo;Tubérculo calcâneo
Sustentaculum tali;Sustentaculum tali;Sustentaculum tali;Sustentáculo del talo;Sustentáculo do tálus
Groove for tendon of flexor hallucis longus of calcaneus;Sulcus tendinis flexoris longi hallucis calcanei;Sillon calcanéen du tendon du long fléchisseur de l'hallux;Surco calcáneo del tendón del flexor largo del hallux;Sulco para o tendão do flexor longo do hálux do calcâneo
Calcaneal sulcus;Sulcus calcanei;Sillon calcanéen;Surco calcáneo;Sulco calcâneo
Tarsal sinus;Sinus tarsi;Sinus du tarse;Seno del tarso;Seio do tarso
Anterior talar articular surface;Facies articularis talaris anterior;Surface articulaire talaire antérieure;Cara articular talar anterior;Superfície articular anterior do tálus
Middle talar articular surface;Facies articularis talaris media;Surface articulaire talaire moyenne;Cara articular talar media;Superfície articular média do tálus
Posterior talar articular surface;Facies articularis talaris posterior;Surface articulaire talaire postérieure;Cara articula talar posterior;Superfície articular posterior do tálus
Groove for tendon of fibularis longus muscle of calcaneus;Sulcus tendinis musculi fibularis longi calcanei;Sillon du tendon du muscle long fibulaire du calcaneum;Surco calcáneo del tendón del músculo fibular largo;Sulco para tendão do músculo fibular longo do calcâneo
Fibular trochlea;Trochlea fibularis;Trochlée fibulaire;Tróclea fibular;Tróclea fibular
Articular surface for cuboid;Facies articularis cuboidea;Surface articulaire cuboïdienne;Cara articular cuboidea;Superfície articular para cubóide
Anterior process of calcaneus;Processus anterior calcanei;Processus antérieur du calcaneus;Proceso anterior del calcáneo;Processo anterior do calcâneo
Navicular bone;Os naviculare;Os naviculaire;Hueso navicular;Osso navicular
Tuberosity of navicular bone;Tuberositas ossis navicularis;Tubérosité de l'os naviculaire;Tuberosidad del hueso navicular;Tuberosidade do osso navicular
Medial cuneiform bone;Os cuneiforme mediale;Os cunéïforme médial;Hueso cuneiforme medial;Osso cuneiforme medial
Intermediate cuneiform bone;Os cuneiforme intermedium;Os cunéïforme intermédiaire;Hueso cuneiforme intermedio;Osso cuneiforme intermédio
Lateral cuneiform bone;Os cuneiforme laterale;Os cunéïforme latéral;Hueso cuneiforme lateral;Osso cuneiforme lateral
Cuboid bone;Os cuboideum;Os cuboïde;Hueso cuboide;Osso cubóide
Groove for tendon of fibularis longus muscle of cuboid bone;Sulcus tendinis musculi fibularis longi ossis cuboidei;Sillon cuboïdien du tendon du muscle long fibulaire;Surco cuboideo del tendón del músculo fibular largo;Sulco para tendão do músculo fibular longo do osso cubóide
Tuberosity of cuboid bone;Tuberositas ossis cuboidei;Tubérosité de l'os cuboïde;Tuberosidad del hueso cuboide;Tuberosidade do osso cubóide
Calcaneal process;Processus calcaneus;Processus calcanéen;Proceso calcáneo;Processo calcâneo
Accessory tarsal bones;Ossa accessoria tarsi;Os tarsiens accessoires;Huesos accesorios del tarso;Ossos do tarso acessórios
(Os trigonum);(Os trigonum);(Os trigone);(Os trigonum);(Os trigonum)
Metatarsal bones;Ossa metatarsi;Os métatarsiens;Huesos metatarsianos;Ossos do metatarso
Metatarsal bone;Os metatarsi;Os métatarsien;Hueso metatarsiano;Osso metatarso
Base of metatarsal bone;Basis ossis metatarsi;Base du métatarsien;Base del hueso metatarsiano;Base do osso metatarso
Body of metatarsal bone;Corpus ossis metatarsi;Corps du métatarsien;Cuerpo del hueso metatarsiano;Corpo do osso metatarso
Head of metatarsal bone;Caput ossis metatarsi;Tête du métatarsien;Cabeza de hueso metatarsiano;Cabeça do osso metatarso
First metatarsal bone;Os primum metatarsi;Premier métatarsien;Primer hueso metatarsiano;Osso primeiro metatarso
Tuberosity of first metatarsal bone;Tuberositas ossis primi metatarsi;Tubérosité du premier métatarsien;Tuberosidad del primer hueso metatarsiano;Tuberosidade do primeiro osso metatarso
Second metatarsal bone;Os secundum metatarsi;Deuxième os métatarsien;Segundo hueso metatarsiano;Osso segundo metatarso
Third metatarsal bone;Os tertium metatarsi;Troisième métatarsien;Tercer hueso metatarsiano;Osso terceiro metatarso
Fourth metatarsal bone;Os quatum metatarsi;Quatrième métatarsien;Cuarto hueso metatarsiano;Osso quarto metatarso
Fifth metatarsal bone;Os quintum metatarsi;Cinquième métatarsien;Quinto hueso metatarsiano;Osso quinto metatarso
Tuberosity of fifth metatarsal bone;Tuberositas ossis quinti metatarsi;Tubérosité du cinquième métatarsien;Tuberosidad del quinto hueso metatarsiano;Tuberosidade do osso quinto metatarso
Phalanges of foot;Phalanges pedis;Phalanges du pied;Falanges del pie;Falanges do pé
Phalanx of foot;Phalanx pedis;Phalange du pied;Falange del pie;Falange do pé
Base of phalanx of foot;Basis phalangis pedis;Base de la phalange du pied;Base de la falange del pie;Base da falange do pé
Body of phalanx of foot;Corpus phalangis pedis;Corps de la phalange du pied;Cuerpo de la falange del pie;Corpo da falange do pé
Head of phalanx of foot;Caput phalangis pedis;Tête de la phalange du pied;Cabeza de la falange del pie;Cabeça de falange de pé
Trochlea of phalanx of foot;Trochlea phalangis pedis;Trochlée de la phalange du pied;Tróclea de la falange del pie;Tróclea de falange de pé
Proximal phalanx of foot;Phalanx proximalis pedis;Phalange proximale du pied;Falange proximal del pie;Falange proximal do pé
Proximal phalanx of first finger of foot;Phalanx proximalis primum digitorum pedis;Phalange proximale du premier doigt de pied;Falange proximal del primer dedo del pie;Falange proximal do primeiro dedo do pé
Proximal phalanx of second finger of foot;Phalanx proximalis secundum digitorum pedis;Phalange proximale du deuxième doigt de pied;Falange proximal del segundo dedo del pie;Falange proximal do segundo dedo do pé
Proximal phalanx of third finger of foot;Phalanx proximalis tertium digitorum pedis;Phalange proximale du troisième doigt de pied;Falange proximal del tercer dedo del pie;Falange proximal do terceiro dedo do pé
Proximal phalanx of fourth finger of foot;Phalanx proximalis quartum digitorum pedis;Phalange proximale du quatrième doigt de pied;Falange proximal del cuarto dedo del pie;Falange proximal do quarto dedo do pé
Proximal phalanx of fifth finger of foot;Phalanx proximalis quintum digitorum pedis;Phalange proximale du cinquième doigt de pied;Falange proximal del quinto dedo del pie;Falange proximal do quinto dedo do pé
Middle phalanx of foot;Phalanx media pedis;Phalange moyenne du pied;Falange media del pie;Falange média do pé
Middle phalanx of second finger of foot;Phalanx media secundum digitorum pedis;Phalange moyenne du deuxième doigt de pied;Falange media del segundo dedo del pie;Falange média do segundo dedo do pé
Middle phalanx of third finger of foot;Phalanx media tertium digitorum pedis;Phalange moyenne du troisème doigt de pied;Falange media del tercer dedo del pie;Falange média do terceiro dedo do pé
Middle phalanx of fourth finger of foot;Phalanx media quartum digitorum pedis;Phalange moyenne du quatrième doigt de pied;Falange media del cuarto dedo del pie;Falange média do quarto dedo do pé
Middle phalanx of fifth finger of foot;Phalanx media quintum digitorum pedis;Phalange moyenne du cinquème doigt de pied;Falange media del quinto dedo del pie;Falange média do quinto dedo do pé
Distal phalanx of foot;Phalanx distalis pedis;Phalange distale du pied;Falange distal del pie;Falange distal do pé
Distal phalanx of first finger of foot;Phalanx distalis primum digitorum pedis;Phalange distale du premier doigt de pied;Falange distal del primer dedo del pie;Falange distal do primeiro dedo do pé
Distal phalanx of second finger of foot;Phalanx distalis secundum digitorum pedis;Phalange distale du deuxième doigt de pied;Falange distal del segundo dedo del pie;Falange distal do segundo dedo do pé
Distal phalanx of third finger of foot;Phalanx distalis tertium digitorum pedis;Phalange distale du troisième doigt de pied;Falange distal del tercer dedo del pie;Falange distal do terceiro dedo do pé
Distal phalanx of fourth finger of foot;Phalanx distalis quartum digitorum pedis;Phalange distale du quatrième doigt de pied;Falange distal del cuarto dedo del pie;Falange distal do quarto dedo do pé
Distal phalanx of fifth finger of foot;Phalanx distalis quintum digitorum pedis;Phalange distale du cinquième doigt de pied;Falange distal del quinto dedo del pie;Falange distal do quinto dedo do pé
Tuberosity of distal phalanx of foot;Tuberositas phalangis distalis pedis;Tubérosité de la phalange distale du pied;Tuberosidad de la falange distal del pie;Tuberosidade da falange distal do pé
Sesamoid bones of foot;Ossa sesamoidea pedis;Os sésamoïdes du pied;Huesos sesamoideos del pie;Ossos sesamóides do pé
Joints;Juncturae;Articulations;Articulaciones;Articulações
Joint;Junctura;Articulation;Articulación;Articulação
Fibrous joints;Juncturae fibrosae;Articulations fibreuses;Articulaciones fibrosas;Articulações fibrosas
Syndesmoses;Syndesmoses;Syndesmoses;Sindesmosis;Sindesmoses
Interosseous ligament;Ligamentum interosseum;Ligament interosseux;Ligamento interóseo;Ligamento interósseo
Interosseous membrane;Membrana interossea;Membrane interosseuse;Membrana interósea;Membrana interóssea
Gomphosis;Gomphosis;Gomphose;Gonfosis;Gomfose
Sutures;Suturae;Sutures;Suturas;Suturas
Plane suture;Sutura plana;Suture plane;Sutura plana;Sutura plana
Limbous suture;Sutura limbosa;Suture limbique;Sutura limbica;Sutura límbica
Serrate suture;Sutura serrata;Suture dentelée;Sutura serrada;Sutura serrilhada
Denticulate suture;Sutura denticulata;Suture denticulée;Sutura denticulada;Sutura denticulada
Schindylesis;Schindylesis;Schindylèse;Esquindilesis;Esquindilese
Cartilaginous joints;Juncturae cartilagineae;Articulation cartilagineuse;Articulaciones cartilaginosas;Articulações cartilaginosas
Synchondroses;Synchondroses;Articulation cartilagineuse primaire;Sincondrosis;Sincondroses
Symphysis;Symphysis;Symphyse;Sínfisis;Sínfise
Synostosis;Junctura ossea;Synostose;Articulación ósea;Sinostose
Synovial joint;Junctura synovialis;Articulation synoviale;Articulación sinovial;Articulação sinovial
Articular cavity;Cavitas articularis;Cavité articulaire;Cavidad articular;Cavidade articular
Synovial fluid;Liquor synovialis;Liquide synovial;Líquido sinovial;Fluido sinovial
Articular capsule;Capsula articularis;Capsule articulaire;Cápsula articular;Cápsula articular
Fibrous layer of articular capsule;Stratum fibrosum capsulae articularis;Membrane fibreuse de la capsule articulaire;Capa fibrosa de la cápsula articular;Camada fibrosa da cápsula articular
Synovial membrane of articular capsule;Stratum synoviale capsulae articularis;Membrane synoviale de la capsule articulaire;Capa sinovial de la cápsula articular;Membrana sinovial da cápsula articular
Synovial fold;Plica synovialis;Plis synovial;Pliegue sinovial;Dobra sinovial
Synovial villus;Villus synovialis;Villosités synoviales;Vellosidad sinovial;Vilosidade sinovial
Articular fibrocartilage;Fibrocartilago articularis;Fibrocartilage articulaire;Fibrocartílago articular;Fibrocartilagem articular
Articular labrum;Labrum articulare;Bourrelet articulaire;Labro articular;Lábio articular
Articular disc;Discus articularis;Disque articulaire;Disco articular;Disco articular
Meniscus;Meniscus articularis;Ménisque articulaire;Menisco articular;Menisco
Accessory ligaments;Ligamenta accessoria;Ligaments accessoires;Ligamentos accesorios;Ligamentos acessórios
Intracapsular ligament;Ligamentum intracapsulare;Ligament intracapsulaire;Ligamento intracapsular;Ligamento intracapsular
Capsular ligament;Ligamentum capsulare;Ligament capsulaire;Ligamento capsular;Ligamento capsular
Extracapsular ligament;Ligamentum extracapsulare;Ligament extracapsulaire;Ligamento extracapsular;Ligamento extracapsular
Articular recess;Recessus articularis;Récessus articulaire;Receso articular;Recesso articular
Synarthrosis;Synarthrosis;Synarthrose;Sinartrosis;Sinartrose
Amphiarthrosis;Amphiarthrosis;Amphiarthrose;Anfiartrosis;Anfiartrose
